姓名,部門,電話,到職日期,月薪
王冠偉,工程部,0918204352,2019-12-10,54190
陳文俊,行政部,0912820495,2024-12-01,37713
張明君,業務部,0928684176,2022-04-04,78336
劉志育,財務部,0933954062,2020-06-08,33793
林怡哲,客服部,0976298045,2022-11-08,36616
黃冠智,工程部,0979072364,2021-07-02,66421
鄭嘉美,研發部,0986309822,2019-02-12,73409
蔡宏蓉,客服部,0919307823,2023-06-29,61393
李志興,人資部,0971855047,2023-03-22,56387
吳芳哲,工程部,0938324029,2024-02-20,109926
王怡美,研發部,0916342155,2019-11-01,103549
陳明蓉,採購部,0913959176,2019-06-30,72347
黃婷仁,行銷部,0910509846,2023-01-17,62568
劉育宏,業務部,0971452172,2022-05-07,54429
張冠哲,工程部,0944250130,2024-08-15,69228
林仁智,財務部,0964829017,2022-03-09,34499
蔡嘉君,客服部,0995946107,2021-09-12,102130
許冠蓉,行政部,0959348510,2023-11-02,56362
張冠哲,研發部,0982957058,2020-05-21,43946
黃冠興,客服部,0973128045,2021-01-21,41924
劉明蓉,工程部,0928490850,2021-08-26,40819
吳怡育,人資部,0967104925,2022-07-03,46687
王婷興,財務部,0975910765,2021-08-16,105256
楊嘉君,業務部,0912859081,2020-12-05,59934
蔡育蓉,採購部,0921856074,2024-04-27,69843
陳宏美,行政部,0930951875,2023-06-10,108457
許仁蓉,工程部,0965291802,2020-01-19,101965
李志哲,客服部,0953949510,2021-10-17,35380
林冠蓉,工程部,0970174952,2022-12-12,34761
吳美蓉,財務部,0994918723,2020-06-02,28576
王育蓉,業務部,0923309718,2023-04-10,69274
黃仁君,研發部,0945801959,2024-01-25,35725
陳嘉蓉,採購部,0908421530,2019-04-02,83659
楊冠仁,行政部,0919478327,2024-06-26,38420
許宏美,工程部,0979175801,2024-09-19,103064
蔡興仁,行銷部,0974918723,2022-05-02,99216
鄭安蓉,業務部,0930649502,2023-06-28,56561
張美蓉,研發部,0993471985,2022-08-20,44053
林冠仁,採購部,0995946102,2024-05-04,98137
吳嘉美,行政部,0947419295,2021-06-08,106136
王冠蓉,工程部,0945309512,2020-06-12,73263
劉冠仁,客服部,0979401203,2021-07-26,57337
李明蓉,人資部,0995946109,2024-05-01,46695
楊冠哲,財務部,0931849518,2023-07-21,99059
許怡美,業務部,0995946107,2021-04-06,94994
王育興,採購部,0931845908,2019-06-21,103541
林志仁,行政部,0949817332,2023-05-29,107315
張嘉蓉,工程部,0963949516,2021-12-12,42441
陳慧哲,研發部,0961469734,2024-09-13,71422
黃志君,客服部,0951264286,2022-06-01,69734
王明蓉,工程部,0934003812,2024-03-09,66837
劉嘉蓉,行銷部,0982129657,2023-01-05,70348
張慧儀,工程部,0914823856,2022-12-19,47036
林婷哲,研發部,0948967312,2019-03-12,90166
蔡冠哲,行政部,0921487385,2023-10-05,35995
李興美,客服部,0979487326,2024-07-21,59946
許志智,工程部,0918384672,2020-07-03,35488
吳嘉蓉,財務部,0979468235,2020-10-02,31762
楊蓉興,客服部,0961472563,2021-11-22,82887
鄭明育,行政部,0918349584,2021-05-27,103691
王嘉哲,人資部,0992817603,2024-08-29,29756
陳智冠,工程部,0952817463,2021-07-19,81983
林美儀,業務部,0973489201,2023-02-10,99152
黃仁蓉,採購部,0943825673,2024-03-07,99563
劉育安,行銷部,0982628493,2024-03-13,36456
張慧平,工程部,0921847563,2023-11-14,58946
蔡冠慧,研發部,0972318593,2022-07-23,31357
許嘉君,客戶部,0998197362,2021-12-21,61128
吳仁蓉,工程部,0915491837,2023-10-11,88189
楊怡美,人資部,0962937841,2019-12-02,38096
鄭仁哲,業務部,0919348821,2022-09-06,83443
王明俊,行政部,0975962384,2022-04-20,79162
陳嘉慧,工程部,0941826579,2020-10-29,39729
林益君,客服部,0931072834,2022-04-14,46784
黃冠平,研發部,0984721392,2021-02-21,95499
劉興蓉,行政部,0934649487,2022-11-10,61309
張仁哲,工程部,0992634872,2024-02-15,66734
蔡明蓉,業務部,0937461392,2022-09-22,89731
李怡蓉,行政部,0948109273,2019-01-23,33846
許俊哲,人資部,0982348912,2024-05-07,42241
王美慧,財務部,0921384627,2021-05-19,65734
陳秀育,工程部,0972193472,2020-08-10,78453
林明仁,客服部,0993984721,2021-06-20,92567
黃蓉慧,研發部,0974928137,2019-08-08,37294
劉嘉君,客戶部,0961837294,2019-09-13,92843
張慧安,工程部,0938749238,2023-11-05,41928
吳志仁,客戶部,0962813475,2023-01-26,35912
楊冠仁,行銷部,0984192876,2023-11-08,30453
鄭蓉仁,工程部,0984719827,2023-09-13,52829
吳怡芳,研發部,0952810937,2024-01-08,56403
王冠安,行政部,0982384719,2024-09-17,41056
黃美蓉,工程部,0992384714,2020-10-07,86193
劉志慧,客戶部,0934728910,2021-04-21,112903
張嘉儀,研發部,0952810932,2019-02-11,102198
林冠君,採購部,0995946123,2021-08-30,65980
吳嘉安,工程部,0992547190,2020-07-18,94369
王育仁,人資部,0945871320,2022-03-19,111533
陳自平,業務部,0951837492,2024-02-06,30285
李文君,客戶部,0911839402,2022-06-15,73045
劉仁蓉,研發部,0971258439,2022-03-01,34790
張嘉明,行銷部,0921849576,2024-09-04,40727
許冠美,行政部,0959487355,2024-03-09,46028
楊哲君,工程部,0978421098,2019-06-12,92659
林怡蓉,財務部,0975938472,2024-02-24,77108
鄭宏俊,業務部,0991029847,2022-05-29,39621
王冠哲,客戶部,0972398471,2019-08-23,67851
黃育美,工程部,0963487091,2024-08-01,89273
陳明儀,研發部,0946823917,2020-04-01,90355
張志慧,工程部,0959283842,2020-08-25,47400
蔡冠君,行政部,0982384752,2021-01-02,109732
許育蓉,人資部,0982659482,2023-03-13,65011
吳嘉蓉,業務部,0968274913,2020-12-10,91462
劉明慧,行政部,0987462193,2021-07-28,29006
鄭仁美,財務部,0951283047,2024-07-18,53623
王冠儀,採購部,0916283948,2023-05-01,99181
林怡興,工程部,0976294815,2021-08-17,39933
吳育美,行銷部,0976309482,2021-11-03,59338
楊明安,研發部,0915462874,2024-01-17,105104
蔡嘉君,工程部,0918873459,2024-04-04,102059
張興俊,客服部,0919285741,2020-05-09,48927
陳志蓉,行政部,0982193847,2022-04-29,43410
黃明仁,人資部,0921993841,2021-02-21,54806
劉冠蓉,工程部,0984920831,2021-07-27,30189
許嘉蓉,客戶部,0978293741,2024-04-09,60155
李冠美,客服部,0912039481,2022-09-22,67793
張明哲,研發部,0921837492,2019-11-07,99967
吳怡慧,行政部,0974920831,2020-12-21,67260
林美育,行銷部,0948710924,2023-06-13,61459
王興哲,工程部,0978490213,2020-05-11,68321
鄭嘉君,採購部,0992847548,2024-06-11,36852
劉文蓉,客服部,0921837495,2020-09-11,40981
李怡蓉,工程部,0932817592,2024-07-14,67622
陳慧瑛,研發部,0912039487,2023-10-06,42952
林冠蓉,行政部,0974920832,2023-04-15,63244
黃嘉安,人資部,0912039489,2023-01-26,72525
許宏美,客服部,0962183947,2020-12-17,28554
張冠君,行銷部,0978493024,2022-02-23,77026
吳育仁,業務部,0919284732,2024-06-23,110489
劉仁蓉,行政部,0992341827,2023-08-15,62747
鄭嘉蓉,工程部,0974920384,2021-09-28,42980
林明儀,業務部,0912039483,2022-07-31,70769
王嘉美,採購部,0974738275,2023-07-28,66319
陳冠蓉,客服部,0996738194,2020-05-04,103966
李志育,工程部,0912739201,2023-06-22,86234
林嘉慧,研發部,0973948202,2019-10-30,91234
鄭冠君,業務部,0975624892,2020-08-16,59725
王明儀,客服部,0992039482,2022-10-13,46813
劉怡美,採購部,0989703982,2020-05-19,38274
張冠蓉,工程部,0998497283,2023-08-06,84110
許明安,行政部,0963984728,2021-02-01,37642
蔡嘉君,人資部,0938497540,2020-01-24,91087
黃志育,工程部,0951283749,2024-02-19,79228
陳冠仁,行銷部,0912837492,2020-06-15,99489
吳冠育,研發部,0910938472,2023-04-14,35692
林怡慧,工程部,0912938475,2021-03-12,69241
楊冠蓉,行政部,0992039487,2020-10-23,81567
張明育,客服部,0928384713,2022-08-08,59316
朱嘉美,業務部,0919849384,2023-11-14,68838
李冠君,採購部,0973849712,2024-05-07,30973
劉宜美,行銷部,0978493201,2021-07-03,41092
許冠育,工程部,0912039482,2022-03-19,67649
吳明蓉,研發部,0979384712,2021-02-07,59589
鄭育君,行政部,0992039481,2023-05-27,104974
